日期,年度,月份,季度,公司,板块,营业收入,营业成本,销售费用,管理费用,研发费用,财务费用,其他收益,利润总额,净利润,经营活动现金流,预算营业收入,预算利润总额,应收账款,存货,资产总额,负债总额,所有者权益
2025-04-01,2025,4,Q2,长永高速,高速运营,12288.45,4661.24,357.74,1080.77,303.69,362.41,193.46,5716.06,4466.42,5308.18,13134.3,4303.85,10292.83,6149.01,237425.51,117630.95,119794.56
2025-05-01,2025,5,Q2,长永高速,高速运营,13276.74,5280.1,465.77,1418.23,297.34,376.21,220.19,5659.28,4534.05,5198.04,13296.24,4356.91,10623.52,5544.17,236458.89,114211.2,122247.69
2025-06-01,2025,6,Q2,长永高速,高速运营,12212.41,4557.91,420.35,1086.76,202.59,432.16,152.72,5665.35,4241.64,5537.82,13134.3,4303.85,11297.3,5431.97,238783.3,118712.68,120070.62
2025-07-01,2025,7,Q3,长永高速,高速运营,11227.76,4215.57,360.78,1066.54,199.1,300.41,322.0,5407.35,4223.01,2969.44,12691.87,4158.87,12052.59,6423.06,232317.0,111394.27,120922.73
2025-08-01,2025,8,Q3,长永高速,高速运营,12062.11,4607.96,353.13,1238.51,188.74,158.45,229.77,5745.1,4519.09,1898.02,12087.49,3960.83,14089.04,5325.62,237054.12,112546.03,124508.09
2025-09-01,2025,9,Q3,长永高速,高速运营,11129.04,4624.88,340.42,1115.92,261.19,258.55,276.74,4804.82,3689.27,4670.69,11483.12,3762.79,11108.59,5772.73,240329.25,119543.09,120786.16
2025-10-01,2025,10,Q4,长永高速,高速运营,10293.35,4061.44,385.68,1048.03,217.27,209.67,153.22,4524.49,3634.14,4007.42,11040.68,3617.81,12305.16,6155.5,231967.38,116041.26,115926.12
2025-11-01,2025,11,Q4,长永高速,高速运营,10192.93,3761.21,269.13,991.18,157.5,303.76,174.38,4884.53,3783.77,3597.39,10878.74,3564.75,9339.01,5123.21,242044.18,117116.11,124928.07
2025-12-01,2025,12,Q4,长永高速,高速运营,11237.58,4457.28,399.96,963.21,195.65,327.11,298.58,5192.95,4058.38,3007.37,11040.68,3617.81,12318.32,6008.83,235958.86,112102.14,123856.71
2026-01-01,2026,1,Q1,长永高速,高速运营,11957.52,4536.89,352.52,1129.84,219.94,427.11,231.69,5522.91,4471.07,5961.07,12266.1,4066.46,9918.18,6869.65,245605.56,116167.75,129437.81
2026-02-01,2026,2,Q1,长永高速,高速运营,12856.89,4619.66,387.19,1232.91,159.42,358.43,282.05,6381.34,4975.29,6934.0,12911.68,4280.48,10277.73,6450.4,251081.99,119424.2,131657.8
2026-03-01,2026,3,Q1,长永高速,高速运营,12333.13,5032.54,381.95,1290.72,240.91,237.92,138.51,5287.6,4156.16,4359.35,13557.26,4494.5,13148.66,6611.98,249598.34,119314.95,130283.39
2026-04-01,2026,4,Q2,长永高速,高速运营,13943.99,5819.2,380.14,1357.03,218.22,300.6,41.83,5910.64,4581.85,3964.13,14029.86,4651.18,13484.74,5549.83,251777.26,119344.07,132433.18
2026-05-01,2026,5,Q2,长永高速,高速运营,12999.1,5471.74,286.72,1202.41,195.39,227.64,343.52,5958.71,4605.84,6958.14,14202.85,4708.53,11294.75,6883.84,254745.79,119431.77,135314.01
2026-06-01,2026,6,Q2,长永高速,高速运营,12979.0,5023.25,524.96,1349.74,205.2,353.74,154.0,5676.11,4501.07,5336.28,14029.86,4651.18,12009.61,5412.8,254909.44,119778.8,135130.64
2023-01-01,2023,1,Q1,怀芷高速,高速运营,7987.44,3262.42,213.41,709.56,145.93,286.25,245.59,3615.47,2906.37,2422.31,8186.11,2373.97,7909.79,4630.13,181456.43,96432.02,92849.6
2023-02-01,2023,2,Q1,怀芷高速,高速运营,8268.84,3403.5,299.22,781.0,175.93,237.64,163.96,3535.51,2886.34,4473.83,8616.96,2498.92,8497.09,4144.84,183744.54,96086.03,92849.6
2023-03-01,2023,3,Q1,怀芷高速,高速运营,8576.42,3225.22,232.22,802.43,239.56,207.84,168.12,4037.25,3110.68,4203.75,9047.81,2623.86,8626.0,3741.17,188597.45,99193.91,92849.6
2023-04-01,2023,4,Q2,怀芷高速,高速运营,8566.48,3202.26,236.06,771.12,153.59,230.07,168.29,4141.66,3274.09,2970.91,9363.21,2715.33,8395.9,3722.03,189194.78,99995.84,92849.6
2023-05-01,2023,5,Q2,怀芷高速,高速运营,8842.62,3736.85,288.41,786.45,170.51,291.23,214.31,3783.47,2943.66,3169.73,9478.66,2748.81,7559.96,4308.46,189902.13,100400.02,92849.6
2023-06-01,2023,6,Q2,怀芷高速,高速运营,9158.63,3785.54,281.62,939.93,202.11,291.26,189.18,3847.35,3013.66,3103.7,9363.21,2715.33,6650.46,3971.67,188148.83,99564.21,92849.6
2023-07-01,2023,7,Q3,怀芷高速,高速运营,8953.17,3404.91,302.16,925.16,262.46,257.53,101.54,3902.48,3041.31,2012.13,9047.81,2623.86,7342.56,3948.37,189052.42,97915.63,92849.6
2023-08-01,2023,8,Q3,怀芷高速,高速运营,9078.3,3690.9,349.78,721.99,196.69,307.73,151.54,3962.76,3140.0,4763.23,8616.96,2498.92,8231.5,3952.14,187730.3,94566.43,93163.87
2023-09-01,2023,9,Q3,怀芷高速,高速运营,8367.86,3452.07,303.15,836.62,162.65,256.64,175.38,3532.1,2738.42,1679.88,8186.11,2373.97,6353.37,5313.27,188808.59,98840.27,92849.6
2023-10-01,2023,10,Q4,怀芷高速,高速运营,7448.01,3217.74,207.88,713.72,134.18,211.9,121.79,3084.38,2368.7,2023.02,7870.71,2282.51,7688.06,4377.6,189004.23,96733.96,92849.6
2023-11-01,2023,11,Q4,怀芷高速,高速运营,7476.95,2967.26,176.09,738.86,188.56,211.49,100.37,3295.07,2530.6,1929.91,7755.26,2249.03,7599.17,3940.24,188394.5,99685.86,92849.6
2023-12-01,2023,12,Q4,怀芷高速,高速运营,7742.36,3028.11,201.61,753.86,194.99,290.48,142.61,3415.92,2654.3,3336.21,7870.71,2282.51,8890.06,4333.91,189908.66,99757.18,92849.6
2024-01-01,2024,1,Q1,怀芷高速,高速运营,8447.03,3457.53,257.59,869.92,167.18,215.13,208.43,3688.11,2947.31,4112.22,8745.34,2566.58,9295.1,5369.29,198834.7,103518.89,95315.81
2024-02-01,2024,2,Q1,怀芷高速,高速运营,9502.94,3708.33,349.74,695.92,243.07,261.83,184.31,4428.36,3399.84,3720.18,9205.62,2701.66,8485.3,4742.55,196731.57,102131.45,94600.12
2024-03-01,2024,3,Q1,怀芷高速,高速运营,9317.54,3603.6,289.81,902.21,236.98,277.42,242.47,4249.98,3314.89,2970.04,9665.9,2836.75,8632.74,5200.05,199552.98,105645.41,93907.57
2024-04-01,2024,4,Q2,怀芷高速,高速运营,9858.97,3907.53,323.17,860.68,238.14,247.89,285.03,4566.59,3625.79,3757.41,10002.85,2935.64,8034.61,4776.85,201011.34,105455.51,95555.83
2024-05-01,2024,5,Q2,怀芷高速,高速运营,9349.83,3707.16,297.49,939.58,152.78,242.34,175.05,4185.54,3153.65,3129.1,10126.18,2971.83,9098.05,5486.1,200045.59,103564.7,96480.89
2024-06-01,2024,6,Q2,怀芷高速,高速运营,9473.28,3701.96,309.6,958.36,208.61,395.52,121.93,4021.15,3215.19,1901.17,10002.85,2935.64,7981.79,4020.94,203260.76,106272.5,96988.26
2024-07-01,2024,7,Q3,怀芷高速,高速运营,8865.48,3620.82,257.42,842.64,129.99,335.94,152.43,3831.09,2947.12,3768.28,9665.9,2836.75,7901.41,4449.02,199205.74,104584.11,94621.64
2024-08-01,2024,8,Q3,怀芷高速,高速运营,8518.32,3427.23,224.7,831.24,226.52,294.7,200.3,3714.24,2823.39,1730.61,9205.62,2701.66,8379.29,4010.1,201256.22,102960.91,98295.32
2024-09-01,2024,9,Q3,怀芷高速,高速运营,8457.25,3553.74,257.87,802.64,176.21,233.33,300.44,3733.9,2935.5,1232.91,8745.34,2566.58,9609.51,5469.39,205639.12,104647.59,100991.53
2024-10-01,2024,10,Q4,怀芷高速,高速运营,8194.36,3026.57,247.05,797.39,170.03,252.39,41.15,3742.07,2892.41,2967.63,8408.39,2467.69,7754.86,4398.78,206362.85,106684.26,99678.59
2024-11-01,2024,11,Q4,怀芷高速,高速运营,7817.65,3160.03,201.62,705.13,178.04,299.36,23.45,3296.93,2623.98,2796.5,8285.05,2431.5,7421.19,4839.17,202801.18,106219.31,96581.87
2024-12-01,2024,12,Q4,怀芷高速,高速运营,8472.38,3064.44,240.32,886.18,179.77,214.97,167.42,4054.12,3178.88,3333.46,8408.39,2467.69,7613.66,3738.63,205389.81,107718.01,97671.8
2025-01-01,2025,1,Q1,怀芷高速,高速运营,8614.16,3531.55,250.94,724.06,155.73,258.8,153.52,3846.6,3017.56,2776.13,9342.2,2774.26,7337.02,4887.5,214874.05,109590.36,105283.69
2025-02-01,2025,2,Q1,怀芷高速,高速运营,9389.04,3646.79,230.39,980.98,150.81,202.93,166.63,4343.76,3425.29,2236.3,9833.89,2920.27,9874.92,5211.79,215140.46,107728.92,107411.54
2025-03-01,2025,3,Q1,怀芷高速,高速运营,9769.81,3933.62,268.33,891.7,199.12,317.64,165.05,4324.45,3401.42,4154.05,10325.59,3066.29,6878.72,5543.07,216169.22,113272.77,102896.45
2025-04-01,2025,4,Q2,怀芷高速,高速运营,10549.17,4347.89,306.8,1151.77,222.63,339.2,238.83,4419.71,3387.04,4266.85,10685.53,3173.18,9195.63,4850.88,214481.12,111612.5,102868.62
2025-05-01,2025,5,Q2,怀芷高速,高速运营,10930.57,4646.67,350.85,1081.4,286.62,292.36,160.81,4433.48,3430.68,3545.94,10817.28,3212.3,12330.91,5415.0,215064.81,107248.2,107816.61
2025-06-01,2025,6,Q2,怀芷高速,高速运营,10414.9,4234.42,259.79,1075.05,256.12,287.85,164.94,4466.61,3398.73,2250.73,10685.53,3173.18,9664.37,4757.59,217824.45,111107.01,106717.44
2025-07-01,2025,7,Q3,怀芷高速,高速运营,10900.28,4283.51,316.11,1166.6,190.01,382.22,255.75,4817.57,3602.91,4088.14,10325.59,3066.29,9116.09,5411.42,219080.41,110795.17,108285.24
2025-08-01,2025,8,Q3,怀芷高速,高速运营,9711.76,4088.1,328.37,816.67,158.56,275.3,270.03,4314.79,3215.24,4583.81,9833.89,2920.27,9161.54,3626.74,219558.19,112051.35,107506.84
2025-09-01,2025,9,Q3,怀芷高速,高速运营,9021.89,3788.83,281.18,736.59,221.26,246.19,51.26,3799.1,2987.52,4287.73,9342.2,2774.26,9035.27,4776.84,217561.2,112450.44,105110.76
2025-10-01,2025,10,Q4,怀芷高速,高速运营,8649.12,3496.59,277.32,761.77,192.32,256.08,192.39,3857.44,2881.56,2474.79,8982.25,2667.37,8708.96,5073.6,216010.81,108133.61,107877.2
2025-11-01,2025,11,Q4,怀芷高速,高速运营,8402.6,3465.05,264.15,790.56,181.17,239.55,141.35,3603.48,2731.87,3553.14,8850.5,2628.25,9862.21,4523.09,217901.33,109619.53,108281.8
2025-12-01,2025,12,Q4,怀芷高速,高速运营,8800.61,3620.19,258.2,837.37,202.11,239.93,136.38,3779.2,2997.53,2721.74,8982.25,2667.37,8116.72,4988.41,219056.06,112431.34,106624.72
2026-01-01,2026,1,Q1,怀芷高速,高速运营,9606.23,3851.84,303.08,908.73,159.67,331.84,201.96,4253.04,3364.9,3899.31,9979.2,2998.15,10144.58,5537.95,231695.87,119362.52,112333.35
2026-02-01,2026,2,Q1,怀芷高速,高速运营,10101.43,4324.65,277.05,1041.57,169.32,340.93,350.87,4298.78,3403.14,2703.85,10504.42,3155.95,6957.92,5079.02,230068.87,115785.64,114283.24
2026-03-01,2026,3,Q1,怀芷高速,高速运营,11595.08,4515.57,348.07,1178.27,242.84,402.04,156.72,5065.0,3813.82,4355.24,11029.64,3313.74,11485.96,5648.73,233663.53,117420.11,116243.42
2026-04-01,2026,4,Q2,怀芷高速,高速运营,11099.91,4335.65,370.02,986.59,231.75,446.34,258.08,4987.65,3836.03,3497.51,11414.13,3429.26,9071.31,5039.27,230719.1,114549.74,116169.36
2026-05-01,2026,5,Q2,怀芷高速,高速运营,11141.43,4762.31,367.95,925.75,267.0,468.86,133.38,4482.94,3474.18,2393.75,11554.86,3471.54,10168.41,4382.52,232030.62,117874.85,114155.76
2026-06-01,2026,6,Q2,怀芷高速,高速运营,11286.4,4637.26,376.18,984.17,268.46,345.07,200.56,4875.83,3817.28,4301.76,11414.13,3429.26,9651.26,5106.12,235265.32,118592.24,116673.09
2023-01-01,2023,1,Q1,现代财富,金融服务,5789.58,2331.87,216.37,628.33,103.84,237.78,121.94,2393.34,1876.76,1966.21,6139.58,1350.71,6289.24,2915.51,165430.35,92266.55,81142.96
2023-02-01,2023,2,Q1,现代财富,金融服务,5898.29,2314.76,185.53,600.14,121.49,201.14,147.0,2622.22,2052.99,1572.72,6462.72,1421.8,6901.49,3160.32,165549.85,92033.04,81142.96
2023-03-01,2023,3,Q1,现代财富,金融服务,6679.69,2897.49,235.9,591.38,150.52,309.22,158.77,2653.94,2024.58,1689.47,6785.86,1492.89,6953.35,2939.82,167209.76,92066.16,81142.96
2023-04-01,2023,4,Q2,现代财富,金融服务,6789.93,3032.27,234.77,646.29,191.91,301.98,103.83,2486.55,1886.1,1886.16,7022.41,1544.93,5789.58,3518.04,169452.41,94010.57,81142.96
2023-05-01,2023,5,Q2,现代财富,金融服务,7162.19,2996.1,252.05,688.02,156.21,258.6,105.52,2916.72,2397.99,2324.53,7108.99,1563.98,6484.29,3031.19,169902.45,94663.96,81142.96
2023-06-01,2023,6,Q2,现代财富,金融服务,7208.93,3054.97,234.9,615.03,177.09,203.28,123.68,3047.32,2399.64,2098.3,7022.41,1544.93,6115.98,3339.31,168110.85,92689.04,81142.96
2023-07-01,2023,7,Q3,现代财富,金融服务,6323.28,2569.38,258.74,546.35,146.33,239.53,144.9,2707.85,2199.51,1146.99,6785.86,1492.89,5162.23,3488.1,166833.97,93301.22,81142.96
2023-08-01,2023,8,Q3,现代财富,金融服务,6319.25,2668.49,135.91,569.26,150.44,182.98,75.25,2687.43,2157.98,2080.27,6462.72,1421.8,7510.5,3253.76,170646.44,93794.01,81142.96
2023-09-01,2023,9,Q3,现代财富,金融服务,5940.46,2345.05,161.65,575.17,119.59,218.36,142.68,2663.33,2067.48,1188.75,6139.58,1350.71,6257.07,3049.36,170932.57,95607.91,81142.96
2023-10-01,2023,10,Q4,现代财富,金融服务,5895.2,2438.66,183.87,538.34,121.4,164.69,105.99,2554.22,1918.49,1855.69,5903.03,1298.67,5446.35,3067.5,170804.58,95238.38,81142.96
2023-11-01,2023,11,Q4,现代财富,金融服务,5752.98,2244.54,177.84,454.44,120.91,142.09,84.0,2697.15,2046.72,1855.64,5816.45,1279.62,5600.7,3650.83,169348.2,95459.31,81142.96
2023-12-01,2023,12,Q4,现代财富,金融服务,6142.89,2491.2,172.65,614.61,147.95,175.35,139.17,2680.31,2095.5,1817.95,5903.03,1298.67,6720.11,2831.83,174099.84,94798.92,81142.96
2024-01-01,2024,1,Q1,现代财富,金融服务,6379.54,2753.37,180.47,614.98,113.04,263.34,84.83,2539.17,2028.94,1697.98,6559.0,1460.3,6747.64,3652.34,178606.47,96609.26,81997.21
2024-02-01,2024,2,Q1,现代财富,金融服务,6935.98,3036.31,238.6,742.71,180.52,197.76,52.96,2593.06,1943.75,2009.76,6904.21,1537.15,5929.7,4128.54,177703.46,96226.23,81477.23
2024-03-01,2024,3,Q1,现代财富,金融服务,6654.3,2530.78,207.03,739.11,114.02,246.73,114.97,2931.61,2217.83,2253.62,7249.42,1614.01,7544.84,3398.59,180508.12,95098.26,85409.85
2024-04-01,2024,4,Q2,现代财富,金融服务,7159.19,2875.9,202.47,585.82,146.81,262.82,109.55,3194.93,2555.57,2852.93,7502.13,1670.28,6435.86,3167.89,180236.51,97801.28,82435.22
2024-05-01,2024,5,Q2,现代财富,金融服务,7231.25,3024.41,213.91,784.11,157.93,210.84,125.96,2966.01,2319.17,3226.96,7594.63,1690.87,7398.63,3252.97,181134.98,99159.62,81975.36
2024-06-01,2024,6,Q2,现代财富,金融服务,7330.53,3194.77,227.4,693.62,100.12,279.58,174.1,3009.14,2326.45,2733.87,7502.13,1670.28,7207.27,3541.43,181112.28,98457.91,82654.37
2024-07-01,2024,7,Q3,现代财富,金融服务,7064.42,3110.02,194.87,615.32,110.75,217.11,174.22,2990.57,2310.43,2740.5,7249.42,1614.01,6642.47,3642.12,182022.52,99323.61,82698.92
2024-08-01,2024,8,Q3,现代财富,金融服务,6679.98,2744.27,204.33,562.36,148.19,196.52,227.35,3051.66,2412.99,2763.18,6904.21,1537.15,6574.66,3365.65,180923.77,97670.35,83253.42
2024-09-01,2024,9,Q3,现代财富,金融服务,6759.11,3002.67,223.11,654.53,130.26,231.9,111.86,2628.52,2001.23,1535.51,6559.0,1460.3,6732.66,3157.67,183796.68,99490.06,84306.62
2024-10-01,2024,10,Q4,现代财富,金融服务,6419.14,2665.72,203.08,589.59,107.47,269.54,201.02,2784.76,2137.73,2325.45,6306.29,1404.03,7507.09,3796.89,181719.78,99630.77,82089.01
2024-11-01,2024,11,Q4,现代财富,金融服务,6376.34,2526.54,190.7,551.02,91.13,189.63,145.81,2973.13,2403.21,2011.23,6213.79,1383.44,5792.74,3769.67,184885.08,99443.62,85441.46
2024-12-01,2024,12,Q4,现代财富,金融服务,6026.9,2445.61,250.95,569.6,131.38,203.9,102.78,2528.24,2019.0,2164.16,6306.29,1404.03,6030.85,3539.37,186195.18,103352.56,82842.63
2025-01-01,2025,1,Q1,现代财富,金融服务,6198.9,2611.82,186.53,675.64,113.65,199.49,123.29,2535.05,2013.24,1711.7,7006.65,1578.46,6779.81,3222.03,191311.44,101391.94,89919.49
2025-02-01,2025,2,Q1,现代财富,金融服务,7183.98,2956.04,193.81,732.03,157.79,262.88,98.21,2979.65,2286.27,2230.5,7375.42,1661.53,6736.1,3284.56,195617.94,103507.79,92110.15
2025-03-01,2025,3,Q1,现代财富,金融服务,7535.37,2906.86,210.04,762.59,89.6,244.28,137.16,3459.15,2717.28,3865.63,7744.19,1744.61,6457.34,4225.36,193477.67,104424.17,89053.5
2025-04-01,2025,4,Q2,现代财富,金融服务,7741.71,3169.11,289.19,670.38,119.48,296.44,88.49,3285.6,2637.15,2094.3,8014.15,1805.43,6401.87,3742.52,191201.18,100651.08,90550.1
2025-05-01,2025,5,Q2,现代财富,金融服务,7633.11,3304.23,250.51,833.09,151.33,277.49,160.11,2976.56,2289.15,2227.15,8112.96,1827.69,4960.38,3790.12,194420.63,104553.69,89866.94
2025-06-01,2025,6,Q2,现代财富,金融服务,7612.24,3329.92,236.3,825.87,121.94,300.08,68.66,2866.79,2203.81,2573.11,8014.15,1805.43,6791.59,4046.03,196823.83,106405.02,90418.81
2025-07-01,2025,7,Q3,现代财富,金融服务,7305.77,2806.05,211.5,720.65,130.74,220.86,143.62,3359.59,2545.7,2158.46,7744.19,1744.61,7054.87,3655.0,194789.87,101418.84,93371.03
2025-08-01,2025,8,Q3,现代财富,金融服务,6984.6,2957.67,265.53,706.09,154.07,270.22,112.01,2743.04,2107.76,2344.51,7375.42,1661.53,7871.09,3730.84,192800.34,103165.04,89635.3
2025-09-01,2025,9,Q3,现代财富,金融服务,6195.1,2709.27,204.98,648.54,61.95,197.79,128.99,2501.56,1947.24,1483.5,7006.65,1578.46,6287.57,3147.28,197166.33,103128.18,94038.15
2025-10-01,2025,10,Q4,现代财富,金融服务,6865.54,2767.21,231.68,597.27,134.28,226.08,162.5,3071.51,2402.56,1272.17,6736.69,1517.64,7555.6,3701.03,196906.17,105949.45,90956.71
2025-11-01,2025,11,Q4,现代财富,金融服务,6385.67,2557.05,162.78,614.33,133.11,248.81,164.69,2834.28,2222.96,1573.3,6637.88,1495.38,6829.7,3953.85,195811.67,106420.47,89391.2
2025-12-01,2025,12,Q4,现代财富,金融服务,6334.26,2640.66,203.07,588.54,125.8,199.17,138.41,2715.42,2118.45,1942.05,6736.69,1517.64,7025.58,4077.0,198990.97,104136.49,94854.48
2026-01-01,2026,1,Q1,现代财富,金融服务,7271.55,2833.61,241.56,794.11,173.27,265.64,94.04,3057.4,2416.09,2169.76,7484.4,1705.84,7340.99,4248.4,206891.22,112147.72,94743.51
2026-02-01,2026,2,Q1,现代财富,金融服务,7519.58,3329.43,244.16,744.55,169.93,166.23,172.03,3037.31,2420.49,3485.72,7878.31,1795.63,5847.76,4322.89,206066.09,106673.73,99392.36
2026-03-01,2026,3,Q1,现代财富,金融服务,8048.74,3378.76,210.97,761.58,165.85,268.46,197.8,3460.93,2655.43,1788.13,8272.23,1885.41,6370.79,3581.79,206047.81,108503.72,97544.09
2026-04-01,2026,4,Q2,现代财富,金融服务,8461.45,3599.69,216.91,857.91,133.45,210.11,25.38,3468.76,2610.78,2677.28,8560.6,1951.13,7136.42,4246.66,207167.1,108038.51,99128.59
2026-05-01,2026,5,Q2,现代财富,金融服务,8805.68,3771.06,333.09,878.4,150.64,333.81,175.87,3514.55,2794.35,3172.83,8666.14,1975.19,7710.12,3814.7,208653.92,109381.44,99272.48
2026-06-01,2026,6,Q2,现代财富,金融服务,7847.15,3247.58,246.61,708.52,167.02,243.81,177.55,3411.16,2670.6,2048.41,8560.6,1951.13,7846.51,3860.14,214168.17,112627.5,101540.67
2023-01-01,2023,1,Q1,大有期货,金融服务,6701.29,2720.3,248.69,658.0,119.36,229.29,164.12,2889.77,2258.95,1276.81,7077.58,1273.96,9370.96,2936.97,208200.11,118668.7,104303.4
2023-02-01,2023,2,Q1,大有期货,金融服务,7223.21,3296.68,250.51,723.05,119.16,298.94,125.18,2660.08,2104.24,1572.4,7450.08,1341.01,6657.06,3722.72,209039.44,119775.38,104303.4
